id,created_at,full_name,age,nationality,social_status,no_of_children,has_second_home,timing_to_buy,primary_reason,property_type,unit_size,price_range,home_features,staff_accommodation,premium_features,exterior_colour,sport_amenities,additional_amenities,managed_rental,raw_answers,payment_plan,travel_to_destination,community_mobility
00439be1-187b-4596-be41-492607a45d32,2026-09-09 14:06:57.317443+00,,25–34,Saudi Arabia,Married,2,No,2026 – 2027,Investment,Apartment,3BR,700k–1.5M SAR,"[""Sea Views"",""Privacy"",""Outdoor Space""]",,"[""Installed Kitchen""]","[""Sand""]","[""Water sports"",""Football"",""Padel""]","[""Spa & Gym"",""Children's Club"",""Retail"",""Cafes""]",Depends on fees & flexibility,"{""age"":""25–34"",""unit_size"":""3BR"",""nationality"":""Saudi Arabia"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Sea Views"",""Privacy"",""Outdoor Space""],""property_type"":""Apartment"",""social_status"":""Married"",""timing_to_buy"":""2026 – 2027"",""managed_rental"":""Depends on fees & flexibility"",""no_of_children"":""2"",""primary_reason"":""Investment"",""exterior_colour"":[""Sand""],""has_second_home"":""No"",""sport_amenities"":[""Water sports"",""Football"",""Padel""],""premium_features"":[""Installed Kitchen""],""community_mobility"":[""Walking""],""staff_accommodation"":null,""additional_amenities"":[""Spa & Gym"",""Children's Club"",""Retail"",""Cafes""],""travel_to_destination"":""Car""}",5+ yrs,Car,"[""Walking""]"
010231c6-e035-4464-ab5b-8d3e2a994b69,2026-09-10 05:47:56.528355+00,,35–44,Saudi Arabia,Married,2,Self-owned,2030 onwards,Both,No preference,3BR,1.5M–3M SAR,"[""Outdoor Space"",""Privacy"",""Sea Views""]",Not required,"[""Private Pool""]","[""Rose""]","[""Water sports""]","[""Children's Club"",""Ladies Facilities"",""Picnic Areas"",""Restaurants"",""Cafes"",""Retail""]",Depends on return,"{""age"":""35–44"",""unit_size"":""3BR"",""nationality"":""Saudi Arabia"",""price_range"":""1.5M–3M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Outdoor Space"",""Privacy"",""Sea Views""],""property_type"":""No preference"",""social_status"":""Married"",""timing_to_buy"":""2030 onwards"",""managed_rental"":""Depends on return"",""no_of_children"":""2"",""primary_reason"":""Both"",""exterior_colour"":[""Rose""],""has_second_home"":""Self-owned"",""sport_amenities"":[""Water sports""],""premium_features"":[""Private Pool""],""community_mobility"":[""Cycling"",""Private Buggy""],""staff_accommodation"":""Not required"",""additional_amenities"":[""Children's Club"",""Ladies Facilities"",""Picnic Areas"",""Restaurants"",""Cafes"",""Retail""],""travel_to_destination"":""Air""}",5+ yrs,Air,"[""Cycling"",""Private Buggy""]"
01636cfe-7459-4982-a604-3c93203a90a9,2026-09-10 06:46:48.483862+00,,25–34,Saudi Arabia,Single,0,No,2028 – 2029,Both,Apartment,1BR,700k–1.5M SAR,"[""Sea Views"",""Park Views"",""Privacy""]",,"[""Private Pool""]","[""Sand""]","[""Padel"",""Water sports"",""Other: Cycling""]","[""Spa & Gym"",""Children's Club"",""Ladies Facilities"",""Restaurants"",""Cafes"",""Retail"",""Picnic Areas""]",Depends on return,"{""age"":""25–34"",""unit_size"":""1BR"",""nationality"":""Saudi Arabia"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Sea Views"",""Park Views"",""Privacy""],""property_type"":""Apartment"",""social_status"":""Single"",""timing_to_buy"":""2028 – 2029"",""managed_rental"":""Depends on return"",""no_of_children"":""0"",""primary_reason"":""Both"",""exterior_colour"":[""Sand""],""has_second_home"":""No"",""sport_amenities"":[""Padel"",""Water sports"",""Other: Cycling""],""premium_features"":[""Private Pool""],""community_mobility"":[""Cycling"",""Shared Buggy / Community Shuttle"",""Walking""],""staff_accommodation"":null,""additional_amenities"":[""Spa & Gym"",""Children's Club"",""Ladies Facilities"",""Restaurants"",""Cafes"",""Retail"",""Picnic Areas""],""travel_to_destination"":""Air""}",5+ yrs,Air,"[""Cycling"",""Shared Buggy / Community Shuttle"",""Walking""]"
0168d7b1-f030-4f18-b7d3-95420e352ab0,2026-09-10 07:31:39.42852+00,,25–34,Saudi Arabia,Married,1,No,2030 onwards,Both,Townhouse,3BR,700k–1.5M SAR,"[""Balconies & Terraces"",""Sea Views"",""Privacy""]",A maid's room,"[""Private Pool"",""Installed Kitchen""]","[""Other: Green"",""Blue"",""Sage""]","[""Football"",""Tennis"",""Padel""]","[""Spa & Gym"",""Children's Club"",""Ladies Facilities"",""Beach Club"",""Restaurants"",""Cafes"",""Retail""]",Depends on fees & flexibility,"{""age"":""25–34"",""unit_size"":""3BR"",""nationality"":""Saudi Arabia"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Balconies & Terraces"",""Sea Views"",""Privacy""],""property_type"":""Townhouse"",""social_status"":""Married"",""timing_to_buy"":""2030 onwards"",""managed_rental"":""Depends on fees & flexibility"",""no_of_children"":""1"",""primary_reason"":""Both"",""exterior_colour"":[""Other: Green"",""Blue"",""Sage""],""has_second_home"":""No"",""sport_amenities"":[""Football"",""Tennis"",""Padel""],""premium_features"":[""Private Pool"",""Installed Kitchen""],""community_mobility"":[""Private Buggy""],""staff_accommodation"":""A maid's room"",""additional_amenities"":[""Spa & Gym"",""Children's Club"",""Ladies Facilities"",""Beach Club"",""Restaurants"",""Cafes"",""Retail""],""travel_to_destination"":""Air""}",5+ yrs,Air,"[""Private Buggy""]"
01c685ca-6e9a-4718-882b-81e1c06bbb13,2026-09-09 14:06:19.739178+00,,25–34,Saudi Arabia,Married,1,No,2028 – 2029,Both,No preference,3BR,700k–1.5M SAR,"[""Sea Views"",""Outdoor Space"",""Balconies & Terraces""]",A maid's room,"[""Installed Kitchen""]","[""Blue"",""Sage"",""Sand"",""Rose""]","[""Football""]","[""Children's Club"",""Ladies Facilities"",""Restaurants"",""Cafes"",""Retail"",""Spa & Gym""]",No,"{""age"":""25–34"",""unit_size"":""3BR"",""nationality"":""Saudi Arabia"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Sea Views"",""Outdoor Space"",""Balconies & Terraces""],""property_type"":""No preference"",""social_status"":""Married"",""timing_to_buy"":""2028 – 2029"",""managed_rental"":""No"",""no_of_children"":""1"",""primary_reason"":""Both"",""exterior_colour"":[""Blue"",""Sage"",""Sand"",""Rose""],""has_second_home"":""No"",""sport_amenities"":[""Football""],""premium_features"":[""Installed Kitchen""],""community_mobility"":[""Private Buggy"",""Cycling""],""staff_accommodation"":""A maid's room"",""additional_amenities"":[""Children's Club"",""Ladies Facilities"",""Restaurants"",""Cafes"",""Retail"",""Spa & Gym""],""travel_to_destination"":""Car""}",5+ yrs,Car,"[""Private Buggy"",""Cycling""]"
02bfd533-a842-4fef-9c78-37fb3b75e5e9,2026-09-13 08:52:50.740893+00,,25–34,Lebanon,Married,2,No,2028 – 2029,Both,Beach Villa,3BR,700k–1.5M SAR,"[""Sea Views"",""Balconies & Terraces"",""Outdoor Space""]",A maid's room,"[""Installed Kitchen"",""Kitchen Appliances"",""Built-in Wardrobes""]","[""Sage""]","[""Football"",""Padel"",""Volleyball""]","[""Spa & Gym"",""Children's Club"",""Beach Club"",""Cafes"",""Restaurants"",""Retail"",""Social Lounge""]",Depends on fees & flexibility,"{""age"":""25–34"",""unit_size"":""3BR"",""nationality"":""Lebanon"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Sea Views"",""Balconies & Terraces"",""Outdoor Space""],""property_type"":""Beach Villa"",""social_status"":""Married"",""timing_to_buy"":""2028 – 2029"",""managed_rental"":""Depends on fees & flexibility"",""no_of_children"":""2"",""primary_reason"":""Both"",""exterior_colour"":[""Sage""],""has_second_home"":""No"",""sport_amenities"":[""Football"",""Padel"",""Volleyball""],""premium_features"":[""Installed Kitchen"",""Kitchen Appliances"",""Built-in Wardrobes""],""community_mobility"":[""Walking"",""Private Buggy""],""staff_accommodation"":""A maid's room"",""additional_amenities"":[""Spa & Gym"",""Children's Club"",""Beach Club"",""Cafes"",""Restaurants"",""Retail"",""Social Lounge""],""travel_to_destination"":""Car""}",5+ yrs,Car,"[""Walking"",""Private Buggy""]"
02c1a629-5cf5-4a5a-b2a0-af7c0c41e595,2026-09-09 13:23:43.669263+00,,35–44,Saudi Arabia,Single,0,Family-owned,2030 onwards,Both,Villa,4BR,700k–1.5M SAR,"[""Park Views"",""Balconies & Terraces"",""Sea Views""]",Both,"[""Installed Kitchen"",""Private Pool"",""Kitchen Appliances""]","[""Sage""]","[""Tennis"",""Football"",""Water sports""]","[""Spa & Gym"",""Children's Club"",""Social Lounge"",""Beach Club"",""Picnic Areas"",""Ladies Facilities"",""Restaurants"",""Cafes"",""Retail""]",Depends on fees & flexibility,"{""age"":""35–44"",""unit_size"":""4BR"",""nationality"":""Saudi Arabia"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Park Views"",""Balconies & Terraces"",""Sea Views""],""property_type"":""Villa"",""social_status"":""Single"",""timing_to_buy"":""2030 onwards"",""managed_rental"":""Depends on fees & flexibility"",""no_of_children"":""0"",""primary_reason"":""Both"",""exterior_colour"":[""Sage""],""has_second_home"":""Family-owned"",""sport_amenities"":[""Tennis"",""Football"",""Water sports""],""premium_features"":[""Installed Kitchen"",""Private Pool"",""Kitchen Appliances""],""community_mobility"":[""Walking"",""Private Buggy""],""staff_accommodation"":""Both"",""additional_amenities"":[""Spa & Gym"",""Children's Club"",""Social Lounge"",""Beach Club"",""Picnic Areas"",""Ladies Facilities"",""Restaurants"",""Cafes"",""Retail""],""travel_to_destination"":""Air""}",5+ yrs,Air,"[""Walking"",""Private Buggy""]"
02eb844f-96cd-4e4e-b53e-42cc8b9a513a,2026-09-09 13:10:19.29909+00,,25–34,Saudi Arabia,Married,2,No,2030 onwards,Both,Villa,3BR,700k–1.5M SAR,"[""Outdoor Space""]",Both,"[""Installed Kitchen""]","[""Sand""]","[""Padel""]","[""Children's Club""]",Depends on return,"{""age"":""25–34"",""unit_size"":""3BR"",""nationality"":""Saudi Arabia"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Outdoor Space""],""property_type"":""Villa"",""social_status"":""Married"",""timing_to_buy"":""2030 onwards"",""managed_rental"":""Depends on return"",""no_of_children"":""2"",""primary_reason"":""Both"",""exterior_colour"":[""Sand""],""has_second_home"":""No"",""sport_amenities"":[""Padel""],""premium_features"":[""Installed Kitchen""],""community_mobility"":[""Walking""],""staff_accommodation"":""Both"",""additional_amenities"":[""Children's Club""],""travel_to_destination"":""Car""}",5+ yrs,Car,"[""Walking""]"
034b1ea9-ab2d-42b8-9514-8e53594e45b0,2026-09-10 05:17:07.421078+00,,35–44,Saudi Arabia,Married,1,No,2030 onwards,Both,Townhouse,2BR,700k–1.5M SAR,"[""Outdoor Space""]",Not required,"[""Built-in Wardrobes"",""Installed Kitchen""]","[""Sand""]","[""Padel"",""Basketball"",""Water sports""]","[""Children's Club"",""Spa & Gym"",""Social Lounge"",""Picnic Areas"",""Beach Club"",""Restaurants""]",Depends on fees & flexibility,"{""age"":""35–44"",""unit_size"":""2BR"",""nationality"":""Saudi Arabia"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""3–5 years"",""home_features"":[""Outdoor Space""],""property_type"":""Townhouse"",""social_status"":""Married"",""timing_to_buy"":""2030 onwards"",""managed_rental"":""Depends on fees & flexibility"",""no_of_children"":""1"",""primary_reason"":""Both"",""exterior_colour"":[""Sand""],""has_second_home"":""No"",""sport_amenities"":[""Padel"",""Basketball"",""Water sports""],""premium_features"":[""Built-in Wardrobes"",""Installed Kitchen""],""community_mobility"":[""Walking"",""Cycling"",""Shared Buggy / Community Shuttle""],""staff_accommodation"":""Not required"",""additional_amenities"":[""Children's Club"",""Spa & Gym"",""Social Lounge"",""Picnic Areas"",""Beach Club"",""Restaurants""],""travel_to_destination"":""Air""}",3–5 years,Air,"[""Walking"",""Cycling"",""Shared Buggy / Community Shuttle""]"
042a67fb-29ff-43f1-bfa4-b1d8a0290fdc,2026-09-09 13:08:39.939206+00,,25–34,Pakistan,Single,0,No,2026 – 2027,Both,Villa,2BR,700k–1.5M SAR,"[""Sea Views"",""Privacy"",""Balconies & Terraces""]",Not required,"[""Installed Kitchen"",""Kitchen Appliances"",""Built-in Wardrobes"",""Private Pool""]","[""Blue"",""Sand""]","[""Water sports"",""Tennis""]","[""Spa & Gym"",""Restaurants"",""Children's Club"",""Beach Club""]",Yes,"{""age"":""25–34"",""unit_size"":""2BR"",""nationality"":""Pakistan"",""price_range"":""700k–1.5M SAR"",""payment_plan"":""5+ yrs"",""home_features"":[""Sea Views"",""Privacy"",""Balconies & Terraces""],""property_type"":""Villa"",""social_status"":""Single"",""timing_to_buy"":""2026 – 2027"",""managed_rental"":""Yes"",""no_of_children"":""0"",""primary_reason"":""Both"",""exterior_colour"":[""Blue"",""Sand""],""has_second_home"":""No"",""sport_amenities"":[""Water sports"",""Tennis""],""premium_features"":[""Installed Kitchen"",""Kitchen Appliances"",""Built-in Wardrobes"",""Private Pool""],""community_mobility"":[""Walking"",""Cycling""],""staff_accommodation"":""Not required"",""additional_amenities"":[""Spa & Gym"",""Restaurants"",""Children's Club"",""Beach Club""],""travel_to_destination"":""Air""}",5+ yrs,Air,"[""Walking"",""Cycling""]"
